home_team,away_team,raw_home_xg,raw_away_xg,clipped_home_xg,clipped_away_xg,final_home_xg,final_away_xg,home_clipped,away_clipped,actual_home_score,actual_away_score,match_status
AFC Bournemouth,Manchester City FC,1.1758904457092285,1.6363986730575562,1.1758904457092285,1.6363986730575562,1.1759,1.6364,False,False,1.0,1.0,FINISHED
Arsenal FC,Burnley FC,3.4831292629241943,0.7171491980552673,3.4831292629241943,0.7171491980552673,3.4831,0.7171,False,False,1.0,0.0,FINISHED
Newcastle United FC,West Ham United FC,1.5137686729431152,1.6515616178512573,1.5137686729431152,1.6515616178512573,1.5138,1.6516,False,False,3.0,1.0,FINISHED
Wolverhampton Wanderers FC,Fulham FC,0.7250469923019409,1.3297605514526367,0.7250469923019409,1.3297605514526367,0.725,1.3298,False,False,1.0,1.0,FINISHED
Leeds United FC,Brighton & Hove Albion FC,1.591701865196228,1.618261694908142,1.591701865196228,1.618261694908142,1.5917,1.6183,False,False,1.0,0.0,FINISHED
Everton FC,Sunderland AFC,0.6900500059127808,1.2067312002182007,0.6900500059127808,1.2067312002182007,0.6901,1.2067,False,False,1.0,3.0,FINISHED
Brentford FC,Crystal Palace FC,1.9698070287704468,0.7934340238571167,1.9698070287704468,0.7934340238571167,1.9698,0.7934,False,False,2.0,2.0,FINISHED
Manchester United FC,Nottingham Forest FC,1.906738042831421,0.5661713480949402,1.906738042831421,0.5661713480949402,1.9067,0.5662,False,False,3.0,2.0,FINISHED
Aston Villa FC,Liverpool FC,1.3999675512313843,1.4905765056610107,1.3999675512313843,1.4905765056610107,1.4,1.4906,False,False,4.0,2.0,FINISHED
Republic of Ireland,Grenada,3.145876884460449,0.7419552206993103,3.145876884460449,0.7419552206993103,3.1459,0.742,False,False,5.0,0.0,FINISHED
Manchester City FC,Crystal Palace FC,2.665764808654785,0.501219630241394,2.665764808654785,0.501219630241394,2.6658,0.5012,False,False,3.0,0.0,FINISHED
Tottenham Hotspur FC,Leeds United FC,0.5065569281578064,1.4614654779434204,0.5065569281578064,1.4614654779434204,0.5066,1.4615,False,False,1.0,1.0,FINISHED
West Ham United FC,Arsenal FC,1.0152108669281006,2.276904821395874,1.0152108669281006,2.276904821395874,1.0152,2.2769,False,False,0.0,1.0,FINISHED
Nottingham Forest FC,Newcastle United FC,1.969320297241211,0.8501769304275513,1.969320297241211,0.8501769304275513,1.9693,0.8502,False,False,1.0,1.0,FINISHED
Burnley FC,Aston Villa FC,0.8872814774513245,2.5208818912506104,0.8872814774513245,2.5208818912506104,0.8873,2.5209,False,False,2.0,2.0,FINISHED
Crystal Palace FC,Everton FC,1.657467246055603,1.2129764556884766,1.657467246055603,1.2129764556884766,1.6575,1.213,False,False,2.0,2.0,FINISHED
Manchester City FC,Brentford FC,1.7652897834777832,0.8269482851028442,1.7652897834777832,0.8269482851028442,1.7653,0.8269,False,False,3.0,0.0,FINISHED
Fulham FC,AFC Bournemouth,1.3464043140411377,1.0994964838027954,1.3464043140411377,1.0994964838027954,1.3464,1.0995,False,False,0.0,1.0,FINISHED
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,1.6426562070846558,0.4280816614627838,1.6426562070846558,0.4280816614627838,1.6427,0.4281,False,False,3.0,0.0,FINISHED
Sunderland AFC,Manchester United FC,1.0704894065856934,1.4921623468399048,1.0704894065856934,1.4921623468399048,1.0705,1.4922,False,False,0.0,0.0,FINISHED
Liverpool FC,Chelsea FC,3.4865152835845947,1.0033944845199585,3.4865152835845947,1.0033944845199585,3.4865,1.0034,False,False,1.0,1.0,FINISHED
Everton FC,Manchester City FC,1.1683905124664307,1.2554672956466675,1.1683905124664307,1.2554672956466675,1.1684,1.2555,False,False,3.0,3.0,FINISHED
Chelsea FC,Nottingham Forest FC,0.7039774656295776,2.0918030738830566,0.7039774656295776,2.0918030738830566,0.704,2.0918,False,False,1.0,3.0,FINISHED
Aston Villa FC,Tottenham Hotspur FC,2.1312780380249023,0.7066504955291748,2.1312780380249023,0.7066504955291748,2.1313,0.7067,False,False,1.0,2.0,FINISHED
Manchester United FC,Liverpool FC,3.045814275741577,0.5539486408233643,3.045814275741577,0.5539486408233643,3.0458,0.5539,False,False,3.0,2.0,FINISHED
AFC Bournemouth,Crystal Palace FC,2.1667792797088623,0.5395736694335938,2.1667792797088623,0.5395736694335938,2.1668,0.5396,False,False,3.0,0.0,FINISHED
Arsenal FC,Fulham FC,2.2831614017486572,0.8835071921348572,2.2831614017486572,0.8835071921348572,2.2832,0.8835,False,False,3.0,0.0,FINISHED
Wolverhampton Wanderers FC,Sunderland AFC,0.9419394135475159,1.4001885652542114,0.9419394135475159,1.4001885652542114,0.9419,1.4002,False,False,1.0,1.0,FINISHED
